Name,Team,Number,Position,Age,Height,Weight,College,Salary
Ersan Ilyasova,Orlando Magic,7,PF,29,156,235,nan,7900000.0
Brandon Jennings,Orlando Magic,55,PG,26,168,169,nan,8344497.0
Devyn Marble,Orlando Magic,11,SF,23,172,200,Iowa,845059.0
Shabazz Napier,Orlando Magic,13,PG,24,173,175,Connecticut,1294440.0
Andrew Nicholson,Orlando Magic,44,PF,26,160,250,St. Bonaventure,2380593.0
Victor Oladipo,Orlando Magic,5,SG,24,162,210,Indiana,5192520.0
Elfrid Payton,Orlando Magic,4,PG,22,161,185,Louisiana-Lafayette,2505720.0
Jason Smith,Orlando Magic,14,PF,30,169,240,Colorado State,4300000.0
Nikola Vucevic,Orlando Magic,9,C,25,175,260,USC,11250000.0
C.J. Watson,Orlando Magic,32,PG,32,151,175,Tennessee,5000000.0
Alan Anderson,Washington Wizards,6,SG,33,159,220,Michigan State,4000000.0
Bradley Beal,Washington Wizards,3,SG,22,166,207,Florida,5694674.0
Jared Dudley,Washington Wizards,1,SF,30,164,225,Boston College,4375000.0
Jarell Eddie,Washington Wizards,8,SG,24,178,218,Virginia Tech,561716.0
Drew Gooden,Washington Wizards,90,PF,34,158,250,Kansas,3300000.0
Marcin Gortat,Washington Wizards,13,C,32,160,240,nan,11217391.0
JJ Hickson,Washington Wizards,21,C,27,156,242,North Carolina State,273038.0
Nene Hilario,Washington Wizards,42,C,33,157,250,nan,13000000.0
Markieff Morris,Washington Wizards,5,PF,26,179,245,Kansas,8000000.0
Kelly Oubre Jr.,Washington Wizards,12,SF,20,166,205,Kansas,1920240.0
Otto Porter Jr.,Washington Wizards,22,SF,23,153,198,Georgetown,4662960.0
Ramon Sessions,Washington Wizards,7,PG,30,157,190,Nevada,2170465.0
Garrett Temple,Washington Wizards,17,SG,30,169,195,LSU,1100602.0
Marcus Thornton,Washington Wizards,15,SF,29,165,205,LSU,200600.0
John Wall,Washington Wizards,2,PG,25,153,195,Kentucky,15851950.0
Darrell Arthur,Denver Nuggets,0,PF,28,165,235,Kansas,2814000.0
D.J. Augustin,Denver Nuggets,12,PG,28,150,183,Texas,3000000.0
Will Barton,Denver Nuggets,5,SF,25,160,175,Memphis,3533333.0
Wilson Chandler,Denver Nuggets,21,SF,29,176,225,DePaul,10449438.0
Kenneth Faried,Denver Nuggets,35,PF,26,150,228,Morehead State,11235955.0
Danilo Gallinari,Denver Nuggets,8,SF,27,153,225,nan,14000000.0
Gary Harris,Denver Nuggets,14,SG,21,180,210,Michigan State,1584480.0
Nikola Jokic,Denver Nuggets,15,C,21,154,250,nan,1300000.0
Joffrey Lauvergne,Denver Nuggets,77,C,24,161,220,nan,1709719.0
Mike Miller,Denver Nuggets,3,SG,36,177,218,Florida,947276.0
Emmanuel Mudiay,Denver Nuggets,0,PG,20,159,200,nan,3102240.0
Jameer Nelson,Denver Nuggets,1,PG,34,160,190,Saint Joseph's,4345000.0
Jusuf Nurkic,Denver Nuggets,23,C,21,165,280,nan,1842000.0
JaKarr Sampson,Denver Nuggets,9,SG,23,171,214,St. John's,258489.0
Nemanja Bjelica,Minnesota Timberwolves,88,PF,28,167,240,nan,3950001.0
Gorgui Dieng,Minnesota Timberwolves,5,C,26,162,241,Louisville,1474440.0
Kevin Garnett,Minnesota Timberwolves,21,PF,40,178,240,nan,8500000.0
Tyus Jones,Minnesota Timberwolves,1,PG,20,154,195,Duke,1282080.0
Zach LaVine,Minnesota Timberwolves,8,PG,21,160,189,UCLA,2148360.0
Shabazz Muhammad,Minnesota Timberwolves,15,SF,23,169,223,UCLA,2056920.0
Adreian Payne,Minnesota Timberwolves,33,PF,25,174,237,Michigan State,1938840.0
Nikola Pekovic,Minnesota Timberwolves,14,C,30,151,307,nan,12100000.0
Tayshaun Prince,Minnesota Timberwolves,12,SF,36,155,212,Kentucky,947276.0
Ricky Rubio,Minnesota Timberwolves,9,PG,25,164,194,nan,12700000.0
Damjan Rudez,Minnesota Timberwolves,10,SF,29,164,230,nan,1149500.0
Karl-Anthony Towns,Minnesota Timberwolves,32,C,20,166,244,Kentucky,5703600.0
Andrew Wiggins,Minnesota Timberwolves,22,SG,21,156,199,Kansas,5758680.0
Steven Adams,Oklahoma City Thunder,12,C,22,163,255,Pittsburgh,2279040.0
Nick Collison,Oklahoma City Thunder,4,PF,35,176,255,Kansas,3750000.0
Kevin Durant,Oklahoma City Thunder,35,SF,27,169,240,Texas,20158622.0
Randy Foye,Oklahoma City Thunder,6,SG,32,170,213,Villanova,3135000.0
Josh Huestis,Oklahoma City Thunder,34,SF,24,172,230,Stanford,1140240.0
Serge Ibaka,Oklahoma City Thunder,9,PF,26,169,245,nan,12250000.0
Enes Kanter,Oklahoma City Thunder,11,C,24,151,245,Kentucky,16407500.0
Mitch McGary,Oklahoma City Thunder,33,PF,24,169,255,Michigan,1463040.0
Nazr Mohammed,Oklahoma City Thunder,13,C,38,178,250,Kentucky,222888.0
Anthony Morrow,Oklahoma City Thunder,2,SG,30,174,210,Georgia Tech,3344000.0
Cameron Payne,Oklahoma City Thunder,22,PG,21,157,185,Murray State,2021520.0
Andre Roberson,Oklahoma City Thunder,21,SG,24,152,210,Colorado,1210800.0
Kyle Singler,Oklahoma City Thunder,5,SF,28,171,228,Duke,4500000.0
Dion Waiters,Oklahoma City Thunder,3,SG,24,160,220,Syracuse,5138430.0
Russell Westbrook,Oklahoma City Thunder,0,PG,27,178,200,UCLA,16744218.0
Cliff Alexander,Portland Trail Blazers,34,PF,20,165,240,Kansas,525093.0
Al-Farouq Aminu,Portland Trail Blazers,8,SF,25,151,215,Wake Forest,8042895.0
Pat Connaughton,Portland Trail Blazers,5,SG,23,168,206,Notre Dame,625093.0
Allen Crabbe,Portland Trail Blazers,23,SG,24,160,210,California,947276.0
Ed Davis,Portland Trail Blazers,17,C,27,150,240,North Carolina,6980802.0
Maurice Harkless,Portland Trail Blazers,4,SF,23,171,215,St. John's,2894059.0
Gerald Henderson,Portland Trail Blazers,9,SG,28,162,215,Duke,6000000.0
Chris Kaman,Portland Trail Blazers,35,C,34,152,265,Central Michigan,5016000.0
Meyers Leonard,Portland Trail Blazers,11,PF,24,156,245,Illinois,3075880.0
Damian Lillard,Portland Trail Blazers,0,PG,25,152,195,Weber State,4236287.0
C.J. McCollum,Portland Trail Blazers,3,SG,24,175,200,Lehigh,2525160.0
Luis Montero,Portland Trail Blazers,44,SG,23,155,185,Westchester CC,525093.0
Mason Plumlee,Portland Trail Blazers,24,C,26,174,235,Duke,1415520.0
Brian Roberts,Portland Trail Blazers,2,PG,30,160,173,Dayton,2854940.0
Noah Vonleh,Portland Trail Blazers,21,PF,20,154,240,Indiana,2637720.0
Trevor Booker,Utah Jazz,33,PF,28,153,228,Clemson,4775000.0
Trey Burke,Utah Jazz,3,PG,23,159,191,Michigan,2658240.0
Alec Burks,Utah Jazz,10,SG,24,152,214,Colorado,9463484.0
Dante Exum,Utah Jazz,11,PG,20,163,190,nan,3777720.0
Derrick Favors,Utah Jazz,15,PF,24,166,265,Georgia Tech,12000000.0
Rudy Gobert,Utah Jazz,27,C,23,165,245,nan,1175880.0
Gordon Hayward,Utah Jazz,20,SF,26,154,226,Butler,15409570.0
Rodney Hood,Utah Jazz,5,SG,23,158,206,Duke,1348440.0
Joe Ingles,Utah Jazz,2,SF,28,166,226,nan,2050000.0
Chris Johnson,Utah Jazz,23,SF,26,176,206,Dayton,981348.0
Trey Lyles,Utah Jazz,41,PF,20,155,234,Kentucky,2239800.0
Shelvin Mack,Utah Jazz,8,PG,26,163,203,Butler,2433333.0
Raul Neto,Utah Jazz,25,PG,24,154,179,nan,900000.0
Tibor Pleiss,Utah Jazz,21,C,26,177,256,nan,2900000.0
Jeff Withey,Utah Jazz,24,C,26,172,231,Kansas,947276.0
Priyanka,Utah Jazz,34,C,25,169,231,Kansas,947276.0
